Fighter 1,Fighter 1 KD,Fighter 1 Sig STR,Fighter 1 Sig Str Percent,Fighter 1 TD,Fighter 1 TD Percent,Fighter 1 Sub AttemptFighter 1 Rev,Fighter 1 Control,Fighter 1 Significant Head Strikes,Fighter 1 Significant Body Strikes,Fighter 1 Significant Leg Strikes,Fight 1 Significatn Distane Strikes,Fighter 1 Significant Clinch Strikes,Fighter 1 Significant Ground Strikes,Fighter 2,Fighter 2 KD,Fighter 2 Sig STR,Fighter 2 Sig Str Percent,Fighter 2 TD,Fighter 2 TD Percent,Fighter 2 Sub AttemptFighter 2 Rev,Fighter 2 Control,Fighter 2 Significant Head Strikes,Fighter 2 Significant Body Strikes,Fighter 2 Significant Leg Strikes,Fight 2 Significatn Distane Strikes,Fighter 2 Significant Clinch Strikes,Fighter 2 Significant Ground Strikes
Landon Quinones,0,55 of 149,36%,78 of 176,1 of 3,33%,0,0,2:04,41 of 115,11 of 26,3 of 8,54 of 145,1 of 4,0 of 0,MarQuel Mederos,0,60 of 146,60 of 146,41%,74 of 165,0 of 5,0%,0,0,4:13,28 of 103,18 of 26,14 of 17,55 of 141,5 of 5,0 of 0
Sean Strickland,0,173 of 408,42%,183 of 419,0 of 0,---,0,0,0:00,157 of 387,10 of 15,6 of 6,173 of 408,0 of 0,0 of 0,Dricus Du Plessis,0,137 of 354,137 of 354,38%,140 of 358,6 of 11,54%,0,0,2:08,81 of 283,32 of 37,24 of 34,134 of 348,3 of 5,0 of 1
Raquel Pennington,0,134 of 201,66%,265 of 342,1 of 3,33%,2,2,11:28,91 of 156,32 of 34,11 of 11,54 of 110,38 of 43,42 of 48,Mayra Bueno Silva,0,69 of 88,69 of 88,78%,96 of 118,3 of 9,33%,3,0,8:58,32 of 44,26 of 30,11 of 14,28 of 45,38 of 40,3 of 3
Neil Magny,0,57 of 102,55%,110 of 159,1 of 2,50%,0,0,1:47,52 of 95,3 of 3,2 of 4,13 of 44,0 of 2,44 of 56,Mike Malott,0,45 of 67,45 of 67,67%,100 of 128,4 of 6,66%,0,0,6:02,19 of 40,4 of 4,22 of 23,30 of 49,0 of 0,15 of 18
Chris Curtis,0,140 of 258,54%,144 of 262,0 of 0,---,0,0,0:00,101 of 210,35 of 44,4 of 4,116 of 230,24 of 28,0 of 0,Marc-Andre Barriault,0,122 of 243,122 of 243,50%,124 of 245,0 of 0,---,0,0,0:00,77 of 189,33 of 42,12 of 12,105 of 218,17 of 25,0 of 0
Arnold Allen,0,59 of 140,42%,61 of 143,0 of 0,---,1,0,0:03,41 of 115,17 of 24,1 of 1,46 of 124,9 of 12,4 of 4,Movsar Evloev,0,51 of 118,51 of 118,43%,72 of 141,5 of 17,29%,0,0,3:31,35 of 101,12 of 13,4 of 4,45 of 110,5 of 7,1 of 1
Brad Katona,0,64 of 155,41%,76 of 172,4 of 9,44%,0,0,4:35,49 of 138,8 of 9,7 of 8,46 of 126,17 of 28,1 of 1,Garrett Armfield,0,105 of 168,105 of 168,62%,130 of 193,0 of 1,0%,0,0,0:00,74 of 131,21 of 27,10 of 10,99 of 162,6 of 6,0 of 0
Charles Jourdain,0,60 of 156,38%,78 of 175,0 of 4,0%,1,0,1:58,19 of 98,20 of 32,21 of 26,52 of 147,8 of 9,0 of 0,Sean Woodson,0,80 of 168,80 of 168,47%,102 of 193,1 of 3,33%,0,0,0:39,59 of 143,10 of 13,11 of 12,70 of 156,8 of 9,2 of 3
Serhiy Sidey,0,79 of 226,34%,81 of 229,0 of 4,0%,0,0,0:24,51 of 181,20 of 36,8 of 9,73 of 218,6 of 8,0 of 0,Ramon Taveras,1,62 of 147,62 of 147,42%,62 of 148,0 of 0,---,0,0,0:06,48 of 131,8 of 10,6 of 6,60 of 144,1 of 1,1 of 2
Gillian Robertson,0,23 of 39,58%,49 of 91,2 of 2,100%,1,0,6:06,20 of 35,0 of 0,3 of 4,5 of 13,0 of 0,18 of 26,Polyana Viana,0,12 of 41,12 of 41,29%,33 of 66,0 of 0,---,0,0,0:27,10 of 37,2 of 3,0 of 1,9 of 37,0 of 0,3 of 4
Yohan Lainesse,0,1 of 9,11%,1 of 9,0 of 0,---,0,0,0:05,1 of 8,0 of 0,0 of 1,1 of 9,0 of 0,0 of 0,Sam Patterson,0,5 of 10,5 of 10,50%,5 of 10,1 of 1,100%,1,0,0:41,5 of 10,0 of 0,0 of 0,5 of 10,0 of 0,0 of 0
